"PointID"	"x"	"y"	"z"	"Density"	"Momentum_x"	"Momentum_y"	"Momentum_z"	"Energy"	"Grid_Velocity_x"	"Grid_Velocity_y"	"Grid_Velocity_z"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
20	7.477355229641400e-01	6.129098309559158e+00	1.313592701835213e-02	9.637848917229347e-01	1.059207620644432e+00	-3.448595316522634e-02	1.233716131336520e-01	2.988604282612392e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.592208240685403e-01	9.952644332842412e-01	9.378229035485328e-01	-6.882793669230985e-02	
21	6.008080973020128e-01	6.126646053218719e+00	1.089767794268831e-02	9.717477198180308e-01	1.059622623792038e+00	-8.507114851629225e-03	1.167890163326845e-01	3.010770900458972e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.703974125142074e-01	9.986104342965928e-01	9.278364796494976e-01	-4.996385951558295e-02	
22	4.859996104977410e-01	6.123663844130515e+00	8.024448069051289e-03	9.776497050277145e-01	1.057436225724518e+00	9.646349668128039e-03	1.059380580486687e-01	3.026386288723226e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.794927579147734e-01	1.001885187381105e+00	9.178768275503347e-01	-3.461254740282640e-02	
23	4.067481043391561e-01	6.121043754989828e+00	5.131503586650841e-03	9.805778648650438e-01	1.053836376270052e+00	2.409066563404317e-02	9.617501011212566e-02	3.033428116558667e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.848527085581692e-01	1.004359514778272e+00	9.103241431396172e-01	-2.556591183133743e-02	
24	3.611732936419856e-01	6.119322360708371e+00	2.471717582554658e-03	9.810249101510761e-01	1.050156272410969e+00	3.981271145303377e-02	9.492853515955045e-02	3.033854518784341e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.865496763774502e-01	1.005631626851884e+00	9.064981168793143e-01	-2.270173444259694e-02	
25	1.060450525405914e-01	6.104003355877080e+00	-2.002401932335634e-03	9.854351165045756e-01	1.016304892081159e+00	1.452975199968529e-01	1.042810514418636e-01	3.039309156673125e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.996035908674022e-01	1.014377886606156e+00	8.787283379704903e-01	-6.690675340901847e-04	
26	9.388703140470814e-02	6.103391699337388e+00	5.832640948256121e-10	9.861336462415133e-01	1.010854621072954e+00	9.657775014337214e-02	1.069608106993228e-01	3.037979056766055e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.003740579378484e+00	1.017854510090064e+00	8.673914948591092e-01	6.313427252369587e-03	
27	1.469638901887394e-01	6.105937516019934e+00	-4.835424097796395e-03	9.860926067889499e-01	1.028370896945034e+00	1.754013043021858e-01	1.094715557016841e-01	3.046260385832901e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.953412722332481e-01	1.009379104336270e+00	8.948411737673974e-01	-7.863097094841873e-03	
28	2.306752173619423e-01	6.109433837055642e+00	-9.310594895673317e-03	9.842057320435892e-01	1.037559541791029e+00	1.927435130377159e-01	1.195492384003186e-01	3.045031404557589e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.887979071512479e-01	1.004665869094385e+00	9.098889802951464e-01	-1.890712403583592e-02	
29	3.799487560197170e-01	6.114470319987912e+00	-1.576482564740034e-02	9.858500699955518e-01	1.055131336811684e+00	2.019304488889576e-01	1.287283541456108e-01	3.055640754559764e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.847660243668421e-01	9.989003950380461e-01	9.280628182498682e-01	-2.571221920260241e-02	
30	6.135499001581950e-01	6.119726858889771e+00	-2.266080499459059e-02	9.728577659756268e-01	1.061953845304371e+00	2.016105322913374e-01	1.415431438387635e-01	3.022217023853809e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.645700595665694e-01	9.914810708215439e-01	9.511099323520522e-01	-5.979938636482349e-02	
31	9.144400000026317e-01	6.122130935659842e+00	-2.586426843875961e-02	9.574368138185936e-01	1.063475934383866e+00	1.907523271710076e-01	1.641362236321835e-01	2.979888861731458e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.424752247371162e-01	9.843732882781002e-01	9.723086720148918e-01	-9.709150564218844e-02	
32	1.215330099847067e+00	6.119726858889714e+00	-2.266080501262221e-02	9.474841875441476e-01	1.064886281378604e+00	1.673586131794393e-01	1.888762406764802e-01	2.951578389755191e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.278216630944123e-01	9.792476489758630e-01	9.864738804218033e-01	-1.218240901052993e-01	
33	1.448931243985544e+00	6.114470319987809e+00	-1.576482567943105e-02	9.325790691779885e-01	1.055953121947082e+00	1.487257351083222e-01	2.280644509346159e-01	2.908564599610755e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	9.083976555078060e-01	9.740703877350616e-01	1.001329639361767e+00	-1.546083319136409e-01	
34	1.598204782643317e+00	6.109433837055509e+00	-9.310594936649626e-03	9.190739482251105e-01	1.036604839980567e+00	1.338606102601134e-01	2.663720173415662e-01	2.867398631521919e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.937867212698513e-01	9.724861889469361e-01	1.005802008955901e+00	-1.792689689612287e-01	
35	1.681916109816519e+00	6.105937516019788e+00	-4.835424143789309e-03	9.132830310123765e-01	1.021618735781180e+00	1.077118834594047e-01	2.979932750186023e-01	2.848375576704699e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.888021214444668e-01	9.731946080934269e-01	1.003376690997587e+00	-1.876820796575972e-01	
36	1.722834947464666e+00	6.104003355876923e+00	-2.002401980780704e-03	9.067306000220255e-01	1.010962182377672e+00	7.449215600169772e-02	3.186646091140478e-01	2.828081464976210e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.821749830866034e-01	9.729185086123424e-01	1.004138265387895e+00	-1.988675008665215e-01	
