"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
63, 1.774497012881115e+00, 6.098960562797836e+00, 3.251820287746720e-03, 9.934226088839681e-01, -1.110145678509308e-02, 9.259787962578746e-01
64, 1.706609136348319e+00, 6.100880318131254e+00, 7.875995701228556e-03, 1.000583565416064e+00, 9.849537808270545e-04, 9.242467283894045e-01
65, 1.564010094946478e+00, 6.104085400500020e+00, 1.634717628828906e-02, 9.894701084456460e-01, -1.777256878604176e-02, 9.238190361154831e-01
66, 1.298748647955052e+00, 6.108136319166103e+00, 2.767945074660706e-02, 9.883131015234922e-01, -1.972538900301754e-02, 9.240276281219847e-01
67, 9.144400000000004e-01, 6.110264308182344e+00, 3.379329598838485e-02, 9.986233731178732e-01, -2.323499328461396e-03, 9.225923168310728e-01
68, 5.301313520449495e-01, 6.108136319166103e+00, 2.767945074660712e-02, 1.009323301352740e+00, 1.573606088431613e-02, 9.203156399852247e-01
69, 2.648699050535231e-01, 6.104085400500020e+00, 1.634717628828911e-02, 1.009998251741355e+00, 1.687525611219796e-02, 9.186080271056498e-01
70, 1.222708636516817e-01, 6.100880318131254e+00, 7.875995701228577e-03, 1.004779016233862e+00, 8.066122457908583e-03, 9.174111753508082e-01
71, 5.438298711888501e-02, 6.098960562797836e+00, 3.251820287746730e-03, 1.011147487040867e+00, 1.881495922371517e-02, 9.109647776182740e-01
72, 2.494556442415108e-02, 6.097932892385726e+00, 1.041131891147592e-03, 1.021129154917672e+00, 3.566222474627363e-02, 8.961766016073924e-01
73, 6.975717735697939e-03, 6.096266666666667e+00, -5.514419586085814e-04, 1.099659369254696e+00, 1.682071449748449e-01, 8.417756886518770e-01
74, 0.000000000000000e+00, 6.096266666666667e+00, 0.000000000000000e+00, 1.132221465246854e+00, 2.231661241676585e-01, 8.082288640304581e-01
75, 3.250017469076583e-02, 6.096266666666667e+00, -2.552640490301735e-03, 1.060018803310248e+00, 1.013009777718209e-01, 8.883384787693248e-01
76, 9.388703140214816e-02, 6.096266666666667e+00, -7.125032676983283e-03, 1.055945877886239e+00, 9.442660998892576e-02, 9.103354526185031e-01
77, 2.306752173593699e-01, 6.096266666666667e+00, -1.612642441232718e-02, 1.047871062975673e+00, 8.079777034781485e-02, 9.160746163483438e-01
78, 5.022734664953230e-01, 6.096266666666667e+00, -2.914654924374796e-02, 1.027411320516294e+00, 4.626539379606667e-02, 9.195419005154662e-01
79, 9.144399999999999e-01, 6.096266666666667e+00, -3.657759999999999e-02, 9.993049853978178e-01, -1.173060022586825e-03, 9.235219604965401e-01
80, 1.326606533504676e+00, 6.096266666666667e+00, -2.914654924374799e-02, 9.716491321202317e-01, -4.785118127155054e-02, 9.270760032274140e-01
81, 1.598204782640630e+00, 6.096266666666667e+00, -1.612642441232719e-02, 9.515992188063760e-01, -8.169183971378614e-02, 9.292264603386710e-01
82, 1.734992968597852e+00, 6.096266666666667e+00, -7.125032676983274e-03, 9.409313897299205e-01, -9.969722230299670e-02, 9.301583666054970e-01
83, 1.796379825309234e+00, 6.096266666666667e+00, -2.552640490301740e-03, 9.378120805974078e-01, -1.049620567826630e-01, 9.251243516764013e-01
84, 1.821904282264302e+00, 6.096266666666667e+00, -5.514419586085727e-04, 9.614520336917564e-01, -6.506205493559891e-02, 9.083722946539934e-01
85, 1.828880000000000e+00, 6.096266666666667e+00, 0.000000000000000e+00, 9.992425489442844e-01, -1.278441560416492e-03, 8.700689588363028e-01
86, 1.821904282264302e+00, 6.096266666666667e+00, 5.514419586085727e-04, 9.614521198294395e-01, -6.506190955063554e-02, 9.083725159417276e-01
87, 1.796379825309234e+00, 6.096266666666667e+00, 2.552640490301724e-03, 9.378124135535011e-01, -1.049614948124813e-01, 9.251243933665435e-01
88, 1.734992968597852e+00, 6.096266666666667e+00, 7.125032676983260e-03, 9.409317983133845e-01, -9.969653268737430e-02, 9.301583466026246e-01
89, 1.598204782640630e+00, 6.096266666666667e+00, 1.612642441232717e-02, 9.515993893433347e-01, -8.169155187797959e-02, 9.292264464951946e-01
90, 1.326606533504678e+00, 6.096266666666667e+00, 2.914654924374794e-02, 9.716491659276559e-01, -4.785112421068065e-02, 9.270759917398611e-01
91, 9.144400000000004e-01, 6.096266666666667e+00, 3.657760000000000e-02, 9.993049746328638e-01, -1.173078191898749e-03, 9.235219577953315e-01
92, 5.022734664953240e-01, 6.096266666666667e+00, 2.914654924374799e-02, 1.027411307147920e+00, 4.626537123264856e-02, 9.195419054173695e-01
93, 2.306752173593705e-01, 6.096266666666667e+00, 1.612642441232721e-02, 1.047871080168554e+00, 8.079779936631414e-02, 9.160746009838383e-01
94, 9.388703140214816e-02, 6.096266666666667e+00, 7.125032676983283e-03, 1.055945879293035e+00, 9.442661236334553e-02, 9.103354092936584e-01
95, 3.250017469076594e-02, 6.096266666666667e+00, 2.552640490301742e-03, 1.060018844974045e+00, 1.013010480928391e-01, 8.883385083786366e-01
96, 6.975717735697939e-03, 6.096266666666667e+00, 5.514419586085814e-04, 1.099659678717158e+00, 1.682076672919892e-01, 8.417757704861427e-01
97, 6.975717735697939e-03, 6.005543796924609e+00, -5.514419586085814e-04, 1.108357184490830e+00, 1.828874974527913e-01, 8.313901295034636e-01
98, 0.000000000000000e+00, 6.005543796924609e+00, 0.000000000000000e+00, 1.156763849722046e+00, 2.645892683669424e-01, 7.921685474472723e-01
99, 3.250017469076583e-02, 6.005543796924609e+00, -2.552640490301735e-03, 1.066323973633193e+00, 1.119429746712005e-01, 8.832715746378563e-01
100, 9.388703140214816e-02, 6.005543796924609e+00, -7.125032676983283e-03, 1.068219536548014e+00, 1.151423449703177e-01, 9.083237751525469e-01
101, 2.306752173593699e-01, 6.005543796924609e+00, -1.612642441232718e-02, 1.058090874874415e+00, 9.804698027682811e-02, 9.151851829725245e-01
102, 5.022734664953230e-01, 6.005543796924609e+00, -2.914654924374796e-02, 1.032344396938567e+00, 5.459154222685576e-02, 9.192261196354005e-01
103, 9.144399999999999e-01, 6.005543796924609e+00, -3.657759999999999e-02, 9.996551428324416e-01, -5.820570610963878e-04, 9.237647615578314e-01
104, 1.326606533504676e+00, 6.005543796924609e+00, -2.914654924374799e-02, 9.677018188998462e-01, -5.451353817876353e-02, 9.280391305815753e-01
105, 1.598204782640630e+00, 6.005543796924609e+00, -1.612642441232719e-02, 9.425915842911052e-01, -9.689511157996013e-02, 9.313498168260075e-01
106, 1.734992968597852e+00, 6.005543796924609e+00, -7.125032676983274e-03, 9.274277736906608e-01, -1.224889047889199e-01, 9.335197572780410e-01
107, 1.796379825309234e+00, 6.005543796924609e+00, -2.552640490301740e-03, 9.246029274216365e-01, -1.272567387563521e-01, 9.273589308247844e-01
108, 1.821904282264302e+00, 6.005543796924609e+00, -5.514419586085727e-04, 9.528663972037403e-01, -7.955306980195057e-02, 9.071271345862452e-01
109, 1.828880000000000e+00, 6.005543796924609e+00, 0.000000000000000e+00, 1.005021161915790e+00, 8.474820948876747e-03, 8.589151672585715e-01
110, 1.821904282264302e+00, 6.005543796924609e+00, 5.514419586085727e-04, 9.528664111029722e-01, -7.955304634253949e-02, 9.071271860114891e-01
111, 1.796379825309234e+00, 6.005543796924609e+00, 2.552640490301724e-03, 9.246028972066133e-01, -1.272567897538934e-01, 9.273589409053359e-01
