"PointID"	"x"	"y"	"z"	"Displacement_x"	"Displacement_y"	"Displacement_z"	"FORCE_x"	"FORCE_y"	"FORCE_z"
10	8.924480000077979e-01	2.475093917480088e-11	-1.717415165665224e-05	7.798036092961903e-12	2.475093917480088e-11	-1.717415165665224e-05	-5.754779602154430e+00	5.925241381470857e+00	1.141084820884883e+02	
11	1.596182399945634e-01	1.584959999954544e-01	1.055612291775350e-06	-5.436583680962413e-12	-4.545552314003876e-12	1.055612291775350e-06	8.618387512155342e+00	-8.597520140622642e+00	-1.165911524498209e+02	
12	2.458262399955028e-01	1.584959999979193e-01	6.018464235231440e-06	-4.497135880024148e-12	-2.080722113277940e-12	6.018464235231439e-06	6.266644158234337e+00	-6.233150572399079e+00	-1.210184820738281e+02	
13	3.320502399960905e-01	1.584959999983168e-01	1.186445811179601e-05	-3.909421061901603e-12	-1.683162487472743e-12	1.186445811179601e-05	3.847395213068856e+00	-3.791663254656616e+00	-1.154605655217611e+02	
14	4.182582399967734e-01	1.584959999991815e-01	1.951490891948003e-05	-3.226431130984348e-12	-8.184750219145472e-13	1.951490891948003e-05	1.115077272138827e+00	-1.021361601968884e+00	-9.815171259158672e+01	
15	5.044662399970281e-01	1.584960000002049e-01	2.877821919365097e-05	-2.971715906829669e-12	2.049311513713503e-13	2.877821919365097e-05	-1.840169333214362e+00	1.992147812755349e+00	-6.653984467772050e+01	
16	5.848502399970669e-01	1.584960000015853e-01	3.914594159674904e-05	-2.933008251864157e-12	1.585304842040902e-12	3.914594159674903e-05	-4.567524399545432e+00	4.781493611808106e+00	-2.594411610545180e+01	
17	6.768982399967955e-01	1.584960000040537e-01	5.347537297184935e-05	-3.204617100219033e-12	4.053656077202789e-12	5.347537297184936e-05	-7.348934227784929e+00	7.604536041184981e+00	2.339703325919792e+01	
18	7.631062399959239e-01	1.584960000075640e-01	7.061226492786322e-05	-4.076091290713748e-12	7.564015134241185e-12	7.061226492786321e-05	-9.382245753250800e+00	9.613613366214803e+00	6.238201466385382e+01	
19	8.493142399954627e-01	1.584960000159019e-01	9.516593670448956e-05	-4.537075598468192e-12	1.590196524991512e-11	9.516593670448956e-05	-1.062840844255659e+01	1.079385608154620e+01	1.012240925698945e+02	
20	9.355222399957208e-01	1.584960000253286e-01	1.242455041570869e-04	-4.278773452860695e-12	2.532858809789895e-11	1.242455041570869e-04	-1.090605933383832e+01	1.102667677064111e+01	1.620829806974756e+02	
21	1.021746239997519e+00	1.584960000354834e-01	1.641864623196150e-04	-2.481055367967077e-12	3.548347328813786e-11	1.641864623196150e-04	-1.030744853387102e+01	1.042379436222207e+01	2.474665456262213e+02	
22	3.192364799915300e-01	3.169919999964995e-01	3.343483103857710e-05	-8.469967097026195e-12	-3.500608292213974e-12	3.343483103857708e-05	1.573281873753144e+01	-1.568012340777773e+01	-1.286812453982999e+02	
23	4.024204799914828e-01	3.169919999969803e-01	5.458116404898562e-05	-8.517175679044297e-12	-3.019663076011961e-12	5.458116404898563e-05	1.057139803291534e+01	-1.049777539854532e+01	-1.218560901801990e+02	
24	4.855884799914658e-01	3.169919999984803e-01	7.982216454459472e-05	-8.534248986293448e-12	-1.519691735757752e-12	7.982216454459470e-05	4.415569506548746e+00	-4.317185937616189e+00	-1.056639328581354e+02	
25	5.687724799912863e-01	3.169920000007364e-01	1.088531482047376e-04	-8.713638351258999e-12	7.363142531055294e-13	1.088531482047376e-04	-2.329001741207251e+00	2.449305401711015e+00	-7.937209872407831e+01	
26	6.519564799909126e-01	3.169920000037978e-01	1.418844404911556e-04	-9.087471129136662e-12	3.797790061993238e-12	1.418844404911557e-04	-8.740794567973072e+00	8.869461334630007e+00	-4.306948295198691e+01	
27	7.348524799902010e-01	3.169920000077546e-01	1.796774124721598e-04	-9.798825394270884e-12	7.754658248044550e-12	1.796774124721599e-04	-1.368955852488461e+01	1.380570180677371e+01	3.103436776825417e+00	
28	8.183084799889955e-01	3.169920000129363e-01	2.223092997094598e-04	-1.100455620426071e-11	1.293637843876834e-11	2.223092997094598e-04	-1.650424246387346e+01	1.659103928541533e+01	6.038342898362168e+01	
29	9.014924799879038e-01	3.169920000201137e-01	2.740559431966655e-04	-1.209616988697182e-11	2.011384920136541e-11	2.740559431966654e-04	-1.719352262926599e+01	1.724887560503268e+01	1.286343402665559e+02	
30	9.846604799875885e-01	3.169920000282552e-01	3.315251052010554e-04	-1.241158963566335e-11	2.825512425031055e-11	3.315251052010554e-04	-1.634972074010046e+01	1.638330773447565e+01	2.063004903548999e+02	
31	1.067844479987924e+00	3.169920000373627e-01	3.982114368695887e-04	-1.207587476702842e-11	3.736274651177645e-11	3.982114368695887e-04	-1.464941540519955e+01	1.466948767486029e+01	2.894143504032014e+02	
32	1.151028479988291e+00	3.169920000469349e-01	4.761247122396345e-04	-1.170953904604967e-11	4.693497994349222e-11	4.761247122396345e-04	-1.264163902372196e+01	1.264081126229468e+01	3.730371486834787e+02	
33	4.788547199846993e-01	4.754879999963581e-01	1.404183567288476e-04	-1.530074346218741e-11	-3.641909960467901e-12	1.404183567288476e-04	1.387245651408532e+01	-1.382624823812304e+01	-1.382693824680275e+02	
34	5.589987199837777e-01	4.754879999986896e-01	1.866052582457113e-04	-1.622229272420322e-11	-1.310456885410178e-12	1.866052582457113e-04	2.852744998370457e+00	-2.812390047648139e+00	-1.281111807564058e+02	
35	6.391427199829688e-01	4.754880000020617e-01	2.390929127906470e-04	-1.703149906589672e-11	2.061590388893818e-12	2.390929127906470e-04	-8.739011277458419e+00	8.764419209682385e+00	-1.060554288062987e+02	
36	7.192867199820658e-01	4.754880000063739e-01	2.953146876608613e-04	-1.793430830465857e-11	6.373808783534273e-12	2.953146876608613e-04	-1.801867189712376e+01	1.802085492046193e+01	-6.385630738297100e+01	
37	7.994307199810429e-01	4.754880000115451e-01	3.570529683381006e-04	-1.895710305754146e-11	1.154508914347410e-11	3.570529683381006e-04	-2.263099477738945e+01	2.260670126962128e+01	3.737999315344455e+00	
38	8.828227199798143e-01	4.754880000179286e-01	4.278997766188516e-04	-2.018553809622197e-11	1.792853665139087e-11	4.278997766188517e-04	-2.313123637603972e+01	2.308143636302748e+01	8.987164372324033e+01	
39	9.597187199787914e-01	4.754880000248278e-01	5.007772279928203e-04	-2.120849850649825e-11	2.482778440259443e-11	5.007772279928205e-04	-2.157143852687008e+01	2.150135989180502e+01	1.673246344709042e+02	
40	1.039878719978066e+00	4.754880000326867e-01	5.828576998772748e-04	-2.193405156805878e-11	3.268667056426886e-11	5.828576998772748e-04	-1.920091194287034e+01	1.911054166602709e+01	2.413515980237796e+02	
41	1.120022719977694e+00	4.754880000414469e-01	6.758449751352928e-04	-2.230595008427184e-11	4.144690827420367e-11	6.758449751352928e-04	-1.673726623917689e+01	1.662101270523867e+01	3.141971279009946e+02	
42	1.200166719977592e+00	4.754880000511605e-01	7.780757428575612e-04	-2.240736562423186e-11	5.116043702288348e-11	7.780757428575615e-04	-1.450583807880623e+01	1.434742170914530e+01	3.886115593498499e+02	
43	1.280310719977694e+00	4.754880000612633e-01	8.897470506995010e-04	-2.230546281528252e-11	6.126321321783543e-11	8.897470506995010e-04	-1.265198090689282e+01	1.241950465939757e+01	4.591994144805786e+02	
44	6.384729599729337e-01	6.339839999998728e-01	3.472456147698510e-04	-2.706614505589300e-11	-1.271990495972972e-13	3.472456147698511e-04	-6.656582948416068e+00	6.606543645652344e+00	-1.572583460080711e+02	
45	7.155769599718418e-01	6.339840000042909e-01	4.190324083416195e-04	-2.815816284925964e-11	4.290833668080849e-12	4.190324083416196e-04	-2.346600790884016e+01	2.337597547605893e+01	-1.400322226768450e+02	
46	7.926969599707435e-01	6.339840000096527e-01	4.980864911291713e-04	-2.925661805981628e-11	9.652807453834508e-12	4.980864911291716e-04	-2.699116454406077e+01	2.686596442568790e+01	-5.872792146649932e+01	
47	8.698009599696142e-01	6.339840000157133e-01	5.827024893858603e-04	-3.038566687545566e-11	1.571340072003049e-11	5.827024893858603e-04	-2.541724954708183e+01	2.526891453347998e+01	5.936089472055893e+01	
48	9.469209599684496e-01	6.339840000224601e-01	6.728947044970581e-04	-3.155061628798802e-11	2.246032334940733e-11	6.728947044970581e-04	-2.331418862984955e+01	2.314559364029838e+01	1.441632249686488e+02	
49	1.026728959967347e+00	6.339840000301742e-01	7.739720616688137e-04	-3.265289890333209e-11	3.017432050765512e-11	7.739720616688137e-04	-2.104145232176481e+01	2.085083380026852e+01	1.974965415646130e+02	
50	1.101144959966450e+00	6.339840000379320e-01	8.753278685097109e-04	-3.354959394887062e-11	3.793186804351182e-11	8.753278685097108e-04	-1.895452144198762e+01	1.874015940958352e+01	2.465892631123056e+02	
51	1.178248959965765e+00	6.339840000467833e-01	9.875774403698659e-04	-3.423524823016129e-11	4.678338196897532e-11	9.875774403698657e-04	-1.698043303752991e+01	1.673572020818473e+01	3.202213507944550e+02	
52	1.255368959965253e+00	6.339840000560336e-01	1.107223048014153e-03	-3.474729356291874e-11	5.603401384792420e-11	1.107223048014153e-03	-1.523703367463248e+01	1.495276066134351e+01	4.008957574505060e+02	
53	1.332472959965007e+00	6.339840000660483e-01	1.237767798009689e-03	-3.499290676475478e-11	6.604816418665189e-11	1.237767798009689e-03	-1.370024629673566e+01	1.335788375521180e+01	4.507306365255824e+02	
54	1.409592959964972e+00	6.339840000768299e-01	1.375917591540668e-03	-3.502757377171130e-11	7.682984702852507e-11	1.375917591540668e-03	-1.253672896104134e+01	1.206640505246450e+01	4.732356440667444e+02	
55	7.980911999579445e-01	7.924800000073819e-01	6.576599665801399e-04	-4.205547497054816e-11	7.381997999830216e-12	6.576599665801399e-04	-2.088636066549335e+01	2.071402584959064e+01	-8.229717819215004e+01	
56	8.721711999569207e-01	7.924800000136063e-01	7.560816694481283e-04	-4.307917205879285e-11	1.360635226750951e-11	7.560816694481284e-04	-2.123482571298650e+01	2.103648096514518e+01	2.187002055308474e+01	
57	9.462511999560005e-01	7.924800000204537e-01	8.600941234199438e-04	-4.399950668204331e-11	2.045391812400519e-11	8.600941234199436e-04	-2.140717717812112e+01	2.118374253367682e+01	9.679616203618015e+01	
58	1.020331199954774e+00	7.924800000277825e-01	9.696330428595663e-04	-4.522607527342002e-11	2.778241539465676e-11	9.696330428595665e-04	-2.141506387435929e+01	2.116420144462684e+01	1.430261501895860e+02	
59	1.094411199953852e+00	7.924800000355646e-01	1.084760267822185e-03	-4.614816021229977e-11	3.556462916023645e-11	1.084760267822186e-03	-2.075005463925663e+01	2.046966998196229e+01	1.881311910125885e+02	
60	1.174699199952928e+00	7.924800000446545e-01	1.217838961846403e-03	-4.707249666351705e-11	4.465465968991141e-11	1.217838961846403e-03	-1.918738283319862e+01	1.887532434749578e+01	2.598844648561614e+02	
61	1.242555199952077e+00	7.924800000525791e-01	1.335194042648790e-03	-4.792309176116790e-11	5.257903603055195e-11	1.335194042648791e-03	-1.754006199845806e+01	1.720331605158993e+01	3.279986055953777e+02	
62	1.316635199951260e+00	7.924800000620479e-01	1.470502638353493e-03	-4.874018872759092e-11	6.204778262942792e-11	1.470502638353493e-03	-1.574447103702469e+01	1.537888146843383e+01	3.784342387379679e+02	
63	1.390715199950781e+00	7.924800000716776e-01	1.613112370325271e-03	-4.921932888179745e-11	7.167779312811477e-11	1.613112370325271e-03	-1.420392573921761e+01	1.377399785285334e+01	3.967466133146865e+02	
64	1.464795199950373e+00	7.924800000820694e-01	1.757772460353210e-03	-4.962686425516615e-11	8.206965046964178e-11	1.757772460353209e-03	-1.329689087106311e+01	1.267881734595863e+01	4.452890051286882e+02	
65	1.538875199950335e+00	7.924800000928588e-01	1.918710003892401e-03	-4.966452633392859e-11	9.285874142061429e-11	1.918710003892401e-03	-1.286892048344263e+01	1.198090483774261e+01	5.444846169035859e+02	
66	9.577094399408296e-01	9.509760000184095e-01	1.067541622739261e-03	-5.917050710223250e-11	1.840969646373391e-11	1.067541622739261e-03	-1.622158679110757e+01	1.599900758104491e+01	3.331142763894044e+01	
67	1.028749439940257e+00	9.509760000258276e-01	1.189194372421626e-03	-5.974303841999586e-11	2.582726870954391e-11	1.189194372421626e-03	-2.089712324221078e+01	2.063803684408301e+01	8.227205128543129e+01	
68	1.099789439939414e+00	9.509760000337310e-01	1.314620860820574e-03	-6.058580888616025e-11	3.373092594680515e-11	1.314620860820574e-03	-2.245859288156099e+01	2.215722126562618e+01	1.352223109936448e+02	
69	1.170845439938535e+00	9.509760000419406e-01	1.443803377059885e-03	-6.146492301840860e-11	4.194053084306186e-11	1.443803377059885e-03	-2.077756531858509e+01	2.043493646419175e+01	1.964308825647534e+02	
70	1.241885439937656e+00	9.509760000503825e-01	1.580276905030614e-03	-6.234394258128860e-11	5.038264671377881e-11	1.580276905030615e-03	-1.860976708450737e+01	1.823220491395245e+01	2.543064112191684e+02	
71	1.322669439936477e+00	9.509760000607236e-01	1.740046307820246e-03	-6.352338250233474e-11	6.072363085437540e-11	1.740046307820246e-03	-1.645205449395984e+01	1.603546565925251e+01	3.055873518544759e+02	
72	1.383981439935972e+00	9.509760000685932e-01	1.871483039889290e-03	-6.402789793603012e-11	6.859288339876871e-11	1.871483039889290e-03	-1.506488052380269e+01	1.460663295720181e+01	3.402023890820839e+02	
73	1.455021439935162e+00	9.509760000781399e-01	2.013954796620305e-03	-6.483849581517534e-11	7.813972911944976e-11	2.013954796620305e-03	-1.366499859853254e+01	1.313849802954443e+01	3.883112453389656e+02	
74	1.526061439934691e+00	9.509760000880858e-01	2.174081749112812e-03	-6.530900330683669e-11	8.808604960425788e-11	2.174081749112812e-03	-1.239746509974628e+01	1.179516580580155e+01	4.451668880011161e+02	
75	1.597117439934320e+00	9.509760000983561e-01	2.334491970735894e-03	-6.567916136296349e-11	9.835580411940864e-11	2.334491970735894e-03	-1.119423953818727e+01	1.053216443293939e+01	4.934874852098597e+02	
76	1.668157439934255e+00	9.509760001088566e-01	2.512730778200939e-03	-6.574543070499688e-11	1.088567396210632e-10	2.512730778200939e-03	-1.011474989110019e+01	9.401840445191384e+00	5.235863213701183e+02	
77	1.117327679922876e+00	1.109472000032217e+00	1.570059205146026e-03	-7.712426274859192e-11	3.221734822933331e-11	1.570059205146026e-03	-1.847587166407651e+01	1.820951411365432e+01	8.705495999837490e+01	
