"PointID"	"x"	"y"	"z"	"Density"	"Momentum_x"	"Momentum_y"	"Momentum_z"	"Energy"	"Grid_Velocity_x"	"Grid_Velocity_y"	"Grid_Velocity_z"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
10	1.363879999995635e+00	1.363880000103812e+00	7.785877037475486e-04	1.185476382707234e+00	1.005947481864135e+00	6.824858615364423e-01	1.706361850208763e-01	3.698323944713447e+00	-2.406346884406800e-12	5.723602654204466e-11	4.292698676016669e-04	1.225113801496260e+00	1.033435856983087e+00	8.608629512486076e-01	3.489487250376057e-01	
11	1.365091161658278e+00	1.363880000102900e+00	2.053247789014829e-03	9.466933353111383e-01	9.947435162591272e-01	2.977711318465423e-01	3.510776593828168e-01	2.989576020713484e+00	-2.343217413673906e-12	5.673343923658485e-11	4.225603181509117e-04	9.420126643116074e-01	9.950557685103039e-01	9.809652055985381e-01	-8.988612302888248e-02	
12	1.369883578037880e+00	1.363880000100640e+00	3.494294694458796e-03	9.121233173799599e-01	1.047140218306818e+00	1.412274551358571e-01	1.507350522289347e-01	2.883675937833988e+00	-2.138648546974488e-12	5.548733612197614e-11	4.074071912496306e-04	9.036864116838983e-01	9.907502576293126e-01	9.935606537264360e-01	-1.492956168094335e-01	
13	1.383328612682981e+00	1.363880000095116e+00	5.319575503645060e-03	9.482925053911899e-01	1.100396813370280e+00	9.179677255113775e-02	7.825294125452135e-02	2.996895923748439e+00	-1.590560685685861e-12	5.244177784160292e-11	3.710523834941787e-04	9.403099877659898e-01	9.915822200641490e-01	9.907689060229959e-01	-9.252544059091360e-02	
14	1.420726478242125e+00	1.363880000079824e+00	7.962560055014415e-03	9.563660510416083e-01	1.113292460823385e+00	4.357820127757898e-02	4.916227615559873e-02	3.021179678764102e+00	-6.484339301523547e-14	4.401042282733997e-11	2.716018036379545e-04	9.483756267685998e-01	9.916450147259978e-01	9.896869261549242e-01	-8.002289997426874e-02	
15	1.836880895744206e+00	1.372398949801634e+00	2.677831734945542e-03	9.703479671597293e-01	1.112170857360701e+00	-6.139915706451215e-02	4.939737470730231e-02	3.053159592674596e+00	3.136934822626034e-11	1.370440014657867e-11	-2.084530091750784e-04	9.650394690799975e-01	9.945292840719089e-01	9.737750921063155e-01	-5.419229123264280e-02	
16	1.701332289893373e+00	1.372951821174817e+00	8.732905652976400e-03	9.699541139793915e-01	1.131991502027260e+00	-5.377617661346521e-02	4.068955132137840e-02	3.059865400152239e+00	1.008957482242789e-11	-3.416785685193613e-12	-1.868591337222157e-04	9.587888172781515e-01	9.884888403066487e-01	9.938282403883699e-01	-6.388142162984957e-02	
17	1.919205737166430e+00	1.367814135888368e+00	2.490355578777172e-03	9.741233781760522e-01	1.097468170254735e+00	-9.334625521348465e-02	2.854864757391620e-02	3.059005477466280e+00	4.572336572551966e-11	-2.836133300540507e-14	-5.054206219981709e-04	9.743596493207971e-01	1.000242547453473e+00	9.558118813723743e-01	-3.974508723834775e-02	
18	1.581444576461092e+00	1.368810373708704e+00	1.153866752818473e-02	9.652476500512466e-01	1.132951563216801e+00	-2.879659521202141e-02	2.088301848360686e-02	3.048339653880562e+00	3.062085388095799e-12	4.726181501228768e-12	-1.011576631501545e-04	9.531151483738048e-01	9.874306850922689e-01	9.987785794043217e-01	-7.267617129556543e-02	
19	1.813078259398644e+00	1.367703048739581e+00	8.747380079343501e-03	9.682571500186991e-01	1.121073643189853e+00	-8.332519966745427e-02	-6.702583562528037e-05	3.050861467355412e+00	2.735917816231624e-11	1.162190295818755e-11	-1.885910405275068e-04	9.593087233138612e-01	9.907582126249572e-01	9.858069530970417e-01	-6.307551569651976e-02	
20	1.956434799788115e+00	1.365317132348392e+00	1.736120016626408e-03	9.871555707251392e-01	1.102453343126753e+00	-9.349371947764727e-02	-1.437498212974707e-02	3.096793129013195e+00	5.100555177667453e-11	-1.333635574028263e-11	-6.994318260326223e-04	9.906608913367595e-01	1.003550930284520e+00	9.456570367918991e-01	-1.447654492689811e-02	
